                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89924,                0.53684,                0.96815,                0.91731,                0.84507,                0.90037,                0.56256,                  1.047,                0.52335,                 1.0209,              0.0006536,              0.0006536,              0.0006536
                     36,                0.82291,                0.51829,                0.94692,                0.92666,                0.83099,                0.89395,                0.55723,                  1.091,                0.55526,                 1.0464,               0.000614,               0.000614,               0.000614
                     37,                0.81045,                0.49446,                0.95602,                0.93588,                0.82231,                0.86947,                0.52824,                 1.0937,                0.53404,                 1.0637,              0.0005744,              0.0005744,              0.0005744
                     38,                0.84643,                0.51196,                 0.9515,                0.93361,                0.79227,                0.86399,                 0.5342,                 1.1003,                0.51728,                 1.0465,              0.0005348,              0.0005348,              0.0005348
                     39,                0.85827,                0.52087,                0.96115,                0.87862,                0.81566,                0.89833,                0.54584,                 1.0914,                0.53085,                 1.0444,              0.0004952,              0.0004952,              0.0004952
                     40,                0.82123,                0.50185,                0.96891,                0.94559,                0.84507,                0.91954,                0.56317,                 1.0915,                0.50671,                  1.058,              0.0004556,              0.0004556,              0.0004556
                     41,                0.77529,                0.49477,                0.90331,                0.93572,                0.85915,                0.92773,                0.59465,                0.98871,                0.49385,                 1.0119,               0.000416,               0.000416,               0.000416
                     42,                0.73799,                0.43951,                0.89884,                0.97688,                0.87324,                0.93461,                0.59791,                 0.9903,                0.49438,                 1.0107,              0.0003764,              0.0003764,              0.0003764
                     43,                0.77824,                0.45512,                0.93487,                0.95374,                0.87108,                0.91678,                0.60484,                 1.0353,                0.48294,                 1.0226,              0.0003368,              0.0003368,              0.0003368
                     44,                0.77677,                0.46567,                0.93342,                0.94086,                0.89628,                0.93323,                0.59595,                0.98736,                0.47834,                0.99191,              0.0002972,              0.0002972,              0.0002972
                     45,                0.72988,                0.42435,                0.89716,                0.94112,                0.90049,                0.92355,                0.58151,                 1.0276,                0.48644,                 1.0148,              0.0002576,              0.0002576,              0.0002576
                     46,                0.70023,                0.42488,                 0.9212,                0.91932,                0.88732,                0.92151,                0.59387,                 1.0024,                0.48853,                 1.0107,               0.000218,               0.000218,               0.000218
                     47,                 0.6748,                0.40543,                0.88686,                 0.9099,                0.88732,                0.93605,                0.61218,                0.98319,                0.48824,                 1.0129,              0.0001784,              0.0001784,              0.0001784
                     48,                0.66422,                0.40747,                0.89943,                0.93976,                0.87888,                0.93821,                0.60773,                 1.0001,                0.48947,                  1.012,              0.0001388,              0.0001388,              0.0001388
                     49,                0.65806,                 0.4076,                0.90749,                0.92552,                 0.8751,                0.92854,                0.60632,                 1.0124,                0.47596,                 1.0291,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.63399,                0.37407,                0.89412,                0.92559,                0.87603,                0.92799,                0.62203,                0.99015,                0.46553,                 1.0299,               5.96e-05,               5.96e-05,               5.96e-05
